species,species_original,phylum,class,family,andrews,henry
Balanophyllia_elegans,Balanophyllia_elegans,Cnidaria,Anthozoa,Dendrophyllidae,1,0
Hylocelis_californica,Planocera_californica,Platyhelminthes,Turbellaria,Cryptocelidae,1,0
Polycladida,Polycladida,Platyhelminthes,Turbellaria,Unidentified,0,1
Nipponnemertes_bimaculata,Amphiporus_bimaculatus,Nemertea,Hoplonemertea,Cratenemertidae,1,0
Lineus_rubescens,Lineus_rubescens,Nemertea,Pilidophora,Lineidae,1,0
Lineus_pictifrons,Lineus_pictifrons,Nemertea,Pilidophora,Lineidae,1,0
Emplectonema_gracile,Emplectonema_gracile,Nemertea,Hoplonemertea,Emplectonematidae,1,0
Micrura_verrilli,Micrura_verrilli,Nemertea,Pilidophora,Lineidae,1,1
Paranemertes_peregrina,Paranemertes_peregrina,Nemertea,Hoplonemertea,Neesiidae,1,0
Paranemertes_californica,Paranemertes_californica,Nemertea,Hoplonemertea,Neesiidae,0,1
Ototyphlonemertes,Ototyphlonemertes,Nemertea,Hoplonemertea,Ototyphlonemertidae,0,1
Carinoma_mutabilis,Carinoma_mutabilis,Nemertea,Palaeonemertea,Carinomidae,0,1
Eumonostilifera,Eumonostilifera,Nemertea,Hoplonemertea,Unidentified,0,1
Hediste_limnicola,Nereis_limnicola,Annelida,Polychaeta,Nereididae,1,0
Nereis_vexillossa,Nereis_vexillossa,Annelida,Polychaeta,Nereididae,1,1
Platynereis_bicanaliculata,Nereis_agassizi,Annelida,Polychaeta,Nereididae,1,1
Nereis_unidentified,Nereis_unidentified,Annelida,Polychaeta,Nereididae,1,1
Halosydna_brevisetosa,Halosydna_brevisetosa,Annelida,Polychaeta,Polynoidae,1,0
Glycera_nana,Glycera_nassa,Annelida,Polychaeta,Glyceridae,1,0
Scoletoma_zonata,Lumbriconereis_zonata,Annelida,Polychaeta,Lumbrineridae,1,0
Terebellidae,Terebellidae,Annelida,Polychaeta,Terebellidae,1,0
Phascolosoma_stephensoni,Physcosoma_agassizi,Annelida,Polychaeta,Phascolosomatidae,1,1
Sabellaria_cementarium,Sabellaria_cementarium,Annelida,Polychaeta,Sabellariidae,0,1
Pherusa_inflata,Pherusa_inflata,Annelida,Polychaeta,Flabelligeridae,0,1
Oenonidae,Oenonidae,Annelida,Polychaeta,Oenonidae,0,1
Polycirrus_spp,Polycirrus_spp,Annelida,Polychaeta,Terebellidae,0,1
Hesperone_complanata,Hesperone_complanata,Annelida,Polychaeta,Polynoidae,0,1
Harmothoe_hirsuta,Harmothoe_hirsuta,Annelida,Polychaeta,Polynoidae,0,1
Pherusa_papillata,Pherusa_papillata,Annelida,Polychaeta,Flabelligeridae,0,1
Phyllodoce_medipapillata,Phyllodoce_medipapillata,Annelida,Polychaeta,Phyllodocidae,0,1
Phyllodoce_hartmanae,Phyllodoce_hartmanae,Annelida,Polychaeta,Phyllodocidae,0,1
Sigambra_tentaculata,Sigambra_tentaculata,Annelida,Polychaeta,Pilargidae,0,1
Gammaridae_unidentified,Gammaridae_unidentified,Arthropoda,Malacostraca,Gammaridae,1,0
Megalorchestia_californiana,Orchestoidea_californica,Arthropoda,Malacostraca,Talitridae,1,0
Traskorchestia_traskiana,Traskorchestia_traskiana,Arthropoda,Malacostraca,Talitridae,1,0
Sunamphitoe_humeralis,Ampithoe_humeralis,Arthropoda,Malacostraca,Ampithoidae,1,0
Caprella_scaura,Caprella_scaura,Arthropoda,Malacostraca,Caprellidae,1,0
Caprella_equilibra,Caprella_aequilibra,Arthropoda,Malacostraca,Caprellidae,1,0
Tanaioidae,Tanaioidae,Arthropoda,Malacostraca,Unidentified,1,0
Pentidotea_resecata,Pentidotea_resecata,Arthropoda,Malacostraca,Idoteidae,1,0
Synidotea_harfordi,Synidotea_harfordi,Arthropoda,Malacostraca,Idoteidae,1,0
Idotea_urotoma,Idothea_rectilinea,Arthropoda,Malacostraca,Idoteidae,1,0
Dynamene_tuberculosa,Dynamene_tuberculosa,Arthropoda,Malacostraca,Sphaeromatidae,1,0
Dynamene_glabra,Dynamene_glabra,Arthropoda,Malacostraca,Sphaeromatidae,1,0
Paracerceis_cordata,Cilicaea_cordata,Arthropoda,Malacostraca,Sphaeromatidae,1,0
Crangon_franciscorum,Crangon_dentipes,Arthropoda,Malacostraca,Crangonidae,1,0
Heptacarpus_tenuissimus,Spirontocaris_gracilis,Arthropoda,Malacostraca,Thoridae,1,0
Heptacarpus_palpator,Spirontocaris_palpator,Arthropoda,Malacostraca,Thoridae,1,0
