species_RE,species,species_original,phylum,class,order,family,andrews,henry
Balanophyllia_elegans,Balanophyllia_elegans,Balanophyllia_elegans,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,1,0
Hylocelis_californica,Hylocelis_californica,Planocera_californica,Platyhelminthes,Turbellaria,Polycladida,Cryptocelidae,1,0
Polycladida,Polycladida,Polycladida,Platyhelminthes,Turbellaria,Polycladida,Unidentified,0,1
Nipponnemertes_bimaculata,Nipponnemertes_bimaculata,Amphiporus_bimaculatus,Nemertea,Hoplonemertea,Monostlifera,Cratenemertidae,1,0
Lineus_rubescens,Lineus_rubescens,Lineus_rubescens,Nemertea,Pilidophora,Heteronemertea,Lineidae,1,0
Lineus_pictifrons,Lineus_pictifrons,Lineus_pictifrons,Nemertea,Pilidophora,Heteronemertea,Lineidae,1,0
Emplectonema_gracile,Emplectonema_gracile,Emplectonema_gracile,Nemertea,Hoplonemertea,Heteronemertea,Emplectonematidae,1,0
Micrura_verrilli,Micrura_verrilli,Micrura_verrilli,Nemertea,Pilidophora,Heteronemertea,Lineidae,1,1
Paranemertes_peregrina,Paranemertes_peregrina,Paranemertes_peregrina,Nemertea,Hoplonemertea,Heteronemertea,Neesiidae,1,0
Paranemertes_californica,Paranemertes_californica,Paranemertes_californica,Nemertea,Hoplonemertea,Heteronemertea,Neesiidae,0,1
Ototyphlonemertes,Ototyphlonemertes,Ototyphlonemertes,Nemertea,Hoplonemertea,Heteronemertea,Ototyphlonemertidae,0,1
Carinoma_mutabilis,Carinoma_mutabilis,Carinoma_mutabilis,Nemertea,Palaeonemertea,Carinomiformes,Carinomidae,0,1
Eumonostilifera,Eumonostilifera,Eumonostilifera,Nemertea,Hoplonemertea,Heteronemertea,Unidentified,0,1
Hediste_limnicola,Hediste_limnicola,Nereis_limnicola,Annelida,Polychaeta,Phyllodocida,Nereididae,1,0
Nereis_vexillossa,Nereis_vexillossa,Nereis_vexillossa,Annelida,Polychaeta,Phyllodocida,Nereididae,1,1
Platynereis_bicanaliculata,Platynereis_bicanaliculata,Nereis_agassizi,Annelida,Polychaeta,Phyllodocida,Nereididae,1,1
Nereis_unidentified,Nereis_unidentified,Nereis_unidentified,Annelida,Polychaeta,Phyllodocida,Nereididae,1,1
Halosydna_brevisetosa,Halosydna_brevisetosa,Halosydna_brevisetosa,Annelida,Polychaeta,Phyllodocida,Polynoidae,1,0
Glycera_nana,Glycera_nana,Glycera_nassa,Annelida,Polychaeta,Phyllodocida,Glyceridae,1,0
Scoletoma_zonata,Scoletoma_zonata,Lumbriconereis_zonata,Annelida,Polychaeta,Eunicida,Lumbrineridae,1,0
Terebellidae,Terebellidae,Terebellidae,Annelida,Polychaeta,Terebellida,Terebellidae,1,0
Phascolosoma_stephensoni,Phascolosoma_stephensoni,Physcosoma_agassizi,Annelida,Polychaeta,Sipuncula,Phascolosomatidae,1,1
Sabellaria_cementarium,Sabellaria_cementarium,Sabellaria_cementarium,Annelida,Polychaeta,Sabellida,Sabellariidae,0,1
Pherusa_inflata,Pherusa_inflata,Pherusa_inflata,Annelida,Polychaeta,Terebellida,Flabelligeridae,0,1
Oenonidae,Oenonidae,Oenonidae,Annelida,Polychaeta,Eunicida,Oenonidae,0,1
Polycirrus_spp,Polycirrus_spp,Polycirrus_spp,Annelida,Polychaeta,Terebellida,Terebellidae,0,1
Hesperone_complanata,Hesperone_complanata,Hesperone_complanata,Annelida,Polychaeta,Phyllodocida,Polynoidae,0,1
Harmothoe_hirsuta,Harmothoe_hirsuta,Harmothoe_hirsuta,Annelida,Polychaeta,Phyllodocida,Polynoidae,0,1
Pherusa_papillata,Pherusa_papillata,Pherusa_papillata,Annelida,Polychaeta,Terebellida,Flabelligeridae,0,1
Phyllodoce_medipapillata,Phyllodoce_medipapillata,Phyllodoce_medipapillata,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,0,1
Phyllodoce_hartmanae,Phyllodoce_hartmanae,Phyllodoce_hartmanae,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,0,1
Sigambra_tentaculata,Sigambra_tentaculata,Sigambra_tentaculata,Annelida,Polychaeta,Phyllodocida,Pilargidae,0,1
Gammaridae_unidentified,Gammaridae_unidentified,Gammaridae_unidentified,Arthropoda,Malacostraca,Amphipoda,Gammaridae,1,0
Megalorchestia_californiana,Megalorchestia_californiana,Orchestoidea_californica,Arthropoda,Malacostraca,Amphipoda,Talitridae,1,0
Traskorchestia_traskiana,Traskorchestia_traskiana,Traskorchestia_traskiana,Arthropoda,Malacostraca,Amphipoda,Talitridae,1,0
Sunamphitoe_humeralis,Sunamphitoe_humeralis,Ampithoe_humeralis,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,1,0
Caprella_scaura,Caprella_scaura,Caprella_scaura,Arthropoda,Malacostraca,Amphipoda,Caprellidae,1,0
Caprella_equilibra,Caprella_equilibra,Caprella_aequilibra,Arthropoda,Malacostraca,Amphipoda,Caprellidae,1,0
Tanaidacea,Tanaidacea,Tanaioidae,Arthropoda,Malacostraca,Tanaidacea,Unidentified,1,0
Pentidotea_resecata,Pentidotea_resecata,Pentidotea_resecata,Arthropoda,Malacostraca,Isopoda,Idoteidae,1,0
Synidotea_harfordi,Synidotea_harfordi,Synidotea_harfordi,Arthropoda,Malacostraca,Isopoda,Idoteidae,1,0
Idotea_urotoma,Idotea_urotoma,Idothea_rectilinea,Arthropoda,Malacostraca,Isopoda,Idoteidae,1,0
Dynamene_tuberculosa,Dynamene_tuberculosa,Dynamene_tuberculosa,Arthropoda,Malacostraca,,Sphaeromatidae,1,0
Dynamene_glabra,Dynamene_glabra,Dynamene_glabra,Arthropoda,Malacostraca,,Sphaeromatidae,1,0
Paracerceis_cordata,Paracerceis_cordata,Cilicaea_cordata,Arthropoda,Malacostraca,,Sphaeromatidae,1,0
Crangon_franciscorum,Crangon_franciscorum,Crangon_dentipes,Arthropoda,Malacostraca,,Crangonidae,1,0
Heptacarpus_tenuissimus,Heptacarpus_tenuissimus,Spirontocaris_gracilis,Arthropoda,Malacostraca,,Thoridae,1,0
