source,year,month,day,site_code,site,Balanophyllia_elegans,Hylocelis_californica,Polycladida,Nipponnemertes_bimaculata,Lineus_rubescens,Lineus_pictifrons,Emplectonema_gracile,Micrura_verrilli,Paranemertes_peregrina,Paranemertes_californica,Ototyphlonemertes,Carinoma_mutabilis,Eumonostilifera,Hediste_limnicola,Nereis_vexillossa,Platynereis_bicanaliculata,Nereis_unidentified,Halosydna_brevisetosa,Glycera_nana,Scoletoma_zonata,Terebellidae,Phascolosoma_stephensoni,Sabellaria_cementarium,Pherusa_inflata,Oenonidae,Polycirrus_spp,Hesperone_complanata,Harmothoe_hirsuta,Pherusa_papillata,Phyllodoce_medipapillata,Phyllodoce_hartmanae,Sigambra_tentaculata,Gammaridae_unidentified,Megalorchestia_californiana,Traskorchestia_traskiana,Sunamphitoe_humeralis,Caprella_scaura,Caprella_equilibra,Tanaioidae,Pentidotea_resecata,Synidotea_harfordi,Idotea_urotoma,Dynamene_tuberculosa,Dynamene_glabra,Paracerceis_cordata,Crangon_franciscorum,Heptacarpus_tenuissimus,Heptacarpus_palpator,Pagurus_granosimanus,Pagurus_samuelis,Pelia_tumida,Pugettia_richii,Pugettia_producta,Pugettia_gracilis,Pugettia_foliata,Pachycheles_rudis,Romaleon_jordani,Loxorhynchus_grandis,Glebocarcinus_amphioetus,Lophopanopeus_bellus,Lophopanopeus_heathii,Pinnixa_longipes,Paraxanthias_taylori,Pachycheles_pubescens,Anoplodactylus_nodosus,Alpheus_clamator,Heptacarpus_sitchensis,Heptacarpus_taylori,Caridea,Spirontocaris_prionata,Elasmopus_antennatus,Peramphithoe_mea,Gammaropsis,Protomedeia_prudens,Orchomene_minutus,Peramphithoe_stypotrupetes,Paramoera_columbiana,Pontogeneia_rostrata,Protomedeia_articulata,Columbaora_cyclocoxa,Ampelisca_hancocki,Carinonajna_bicarinata_subgroup,Peramphithoe_lindbergi,Peramphithoe_plea,Ampithoe,Ingolfiellidea,Tonicella_lineata,Tripoplax_regularis,Lepidozona_cooperi,Lepidozona_mertensii,Mopalia_ciliata,Mopalia_muscosa,Alia_carinata,Mitrella_gausapata,Calliostoma_ligatum,Amphissa_versicolor,Amphissa_columbiana,Tegula_montereyi,Homalopoma_paucicostatum,Gigahomalopoma_carpenteri,Lirobittium_quadrifilatum,Paciocinebrina_interfossa,Lirularia_lirulata,Lucapinella_callomarginata,Doriopsilla_fulva,Eulithidium_comptum,Lottia_persona,Discurria_insessa,Semele_pulchra,Leukoma_staminea,Cardita_subquadrata,Mytilimeria_nuttalli,Irusella_lamellifera,Promartynia_pulligo,Chlorostoma_montereyi,Callistoma_supragranosum,Lirularia_succincta,Patiria_miniata,Pisaster_ochraceus,Leptasterias_pusilla,Ophiopholis_aculeata,Amphipholis_pugetana,Ophiopteris_papillosa,Ophiothrix_spiculata,Amphiodia_occidentalis,Strongylocentrotus_purpuratus,Pseudocnus_lubricus,Amphipholis_squamata,Eupentecta_quinquesimita,Cucumeria_piperata,Pyura_haustor,Xiphister_atropurpureus,Gobiesox_eugrammus,Unidentified
table-1,1934,7,1,A,Cabrillo_Point,0,0,0,7,0,3,0,0,0,0,0,0,0,18,25,0,36,54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,10,0,0,0,0,21,6,24,36,15,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,12,28,0,21,14,60,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,6,0,0,0,74,0,39,10,6,33,0,0,0,3,3,0,0
table-1,1934,7,1,B,Stillwater_Cove,0,0,0,6,0,6,5,2,0,0,0,0,0,0,32,22,52,36,6,0,20,9,0,0,0,0,0,0,0,0,0,0,135,5,0,56,0,0,0,0,0,0,0,5,0,3,0,72,0,7,13,12,24,7,21,0,0,0,0,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,27,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,58,0,12,16,5,12,0,0,0,2,0,0,0
table-1,1934,7,1,C,Breakwater,3,0,0,10,0,0,0,5,0,0,0,0,0,0,50,30,20,52,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,39,90,0,6,0,0,0,0,3,54,0,0,0,0,0,20,3,60,66,27,65,65,6,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,37,0,0,0,0,2,0,0,0
table-1,1934,7,1,D,Lovers_Point,16,0,0,0,0,0,0,0,0,0,0,0,0,52,0,15,40,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,252,0,0,5,0,0,0,0,0,0,0,8,0,6,0,0,12,21,42,52,0,0,24,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,78,0,0,0,91,0,0,0,6,0,0,3,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,15,351,0,9,0,36,3,0,0,0,0,3,0,0
table-1,1934,7,1,E,Pescadero_Point,3,5,0,18,0,0,0,0,0,0,0,0,0,29,34,74,33,104,0,24,6,20,0,0,0,0,0,0,0,0,0,0,150,0,6,38,9,0,7,3,0,3,0,32,0,0,0,38,3,0,7,6,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,9,18,0,0,0,60,0,0,15,0,3,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,3,24,0,5,53,57,12,0,0,0,0,0,0,0
table-1,1934,7,1,F,Point_Pinos,8,10,0,3,0,0,0,6,6,0,0,0,0,0,37,0,0,28,0,7,3,0,0,0,0,0,0,0,0,0,0,0,122,84,180,0,0,0,3,0,0,2,6,2,0,0,2,12,12,1,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,0,0,18,12,0,3,0,0,0,3,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,14,9,42,0,0,16,0,0,0,0,0,0,0,0,0
table-2,1934,12,26,A,Cabrillo_Point,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
table-2,1934,12,26,B,Stillwater_Cove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
table-2,1934,12,26,C,Breakwater,0,0,0,0,0,0,0,0,0,0,0,0,0,167,62,40,22,38,0,0,0,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,35,16,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,67,48,8,0,11,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,5,0,0
table-2,1934,12,26,D,Lovers_Point,0,14,0,11,0,0,0,0,0,0,0,0,0,81,54,54,0,22,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,49,0,22,0,0,0,16,0,0,0,0,0,3,0,14,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,48,0,0,0,3,0,0,8,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,9,9,0,24,0,54,100,0,0,0,0,0,3,0,0
