"","DATE","YEAR","SITE","QUADSIZE","rock_percent","SPECIES","COUNT","COUNT10"
"1",2019-07-02,2019,"OTTR",10,80,"patiria_min",6,6
"2",2019-07-02,2019,"OTTR",10,90,"patiria_min",5,5
"3",2019-07-02,2019,"OTTR",10,80,"patiria_min",7,7
"4",2019-07-02,2019,"OTTR",10,70,"patiria_min",5,5
"5",2019-07-02,2019,"OTTR",10,90,"patiria_min",4,4
"6",2019-07-02,2019,"OTTR",10,90,"patiria_min",9,9
"7",2019-07-02,2019,"OTTR",10,100,"patiria_min",2,2
"8",2019-07-02,2019,"OTTR",10,90,"patiria_min",8,8
"9",2019-07-02,2019,"OTTR",10,80,"patiria_min",7,7
"10",2019-07-02,2019,"OTTR",10,70,"patiria_min",7,7
"11",2019-07-02,2019,"OTTR",10,90,"patiria_min",6,6
"12",2019-07-02,2019,"HMLR",10,NA,"patiria_min",4,4
"13",2019-07-02,2019,"HMLR",10,NA,"patiria_min",0,0
"14",2019-07-02,2019,"HMLR",10,50,"patiria_min",3,3
"15",2019-07-02,2019,"HMLR",10,NA,"patiria_min",1,1
"16",2019-07-02,2019,"HMLR",10,NA,"patiria_min",1,1
"17",2019-07-02,2019,"HMLR",10,NA,"patiria_min",0,0
"18",2019-07-02,2019,"HMLR",10,NA,"patiria_min",5,5
"19",2019-07-02,2019,"HMLR",10,NA,"patiria_min",4,4
"20",2019-07-02,2019,"HMLR",10,100,"patiria_min",3,3
"21",2019-07-02,2019,"HMLR",10,100,"patiria_min",1,1
"22",2019-07-02,2019,"HMLR",10,100,"patiria_min",2,2
"23",2019-07-02,2019,"HMLR",10,50,"patiria_min",0,0
"24",2019-07-02,2019,"HMLR",10,100,"patiria_min",3,3
"25",2019-07-02,2019,"HMLR",10,100,"patiria_min",4,4
"26",2019-07-02,2019,"OTTR",10,70,"patiria_min",12,12
"27",2019-07-02,2019,"OTTR",10,100,"patiria_min",6,6
"28",2019-07-02,2019,"OTTR",10,100,"patiria_min",3,3
"29",2019-07-02,2019,"OTTR",10,70,"patiria_min",9,9
"30",2019-07-02,2019,"OTTR",10,100,"patiria_min",4,4
"31",2019-07-02,2019,"OTTR",10,50,"patiria_min",3,3
"32",2019-07-02,2019,"OTTR",10,90,"patiria_min",2,2
"33",2019-07-02,2019,"OTTR",10,80,"patiria_min",3,3
"34",2019-07-02,2019,"OTTR",10,30,"patiria_min",5,5
"35",2019-07-02,2019,"OTTR",10,95,"patiria_min",4,4
"36",2019-07-02,2019,"OTTR",10,100,"patiria_min",12,12
"37",2019-07-02,2019,"OTTR",10,100,"patiria_min",10,10
"38",2019-07-02,2019,"OTTR",10,80,"patiria_min",7,7
"39",2019-07-02,2019,"OTTR",10,55,"patiria_min",11,11
"40",2019-07-02,2019,"HMLR",10,NA,"patiria_min",5,5
"41",2019-07-02,2019,"HMLR",10,90,"patiria_min",4,4
"42",2019-07-02,2019,"HMLR",10,100,"patiria_min",0,0
"43",2019-07-02,2019,"HMLR",10,100,"patiria_min",0,0
"44",2019-07-02,2019,"HMLR",10,50,"patiria_min",4,4
"45",2019-07-02,2019,"HMLR",10,NA,"patiria_min",5,5
"46",2019-07-02,2019,"HMLR",10,50,"patiria_min",1,1
"47",2019-07-02,2019,"HMLR",10,75,"patiria_min",3,3
"48",2019-07-02,2019,"OTTR",10,80,"pisaster_gig",1,1
"49",2019-07-02,2019,"OTTR",10,90,"pisaster_gig",1,1
"50",2019-07-02,2019,"OTTR",10,80,"pisaster_gig",0,0
"51",2019-07-02,2019,"OTTR",10,70,"pisaster_gig",0,0
"52",2019-07-02,2019,"OTTR",10,90,"pisaster_gig",0,0
"53",2019-07-02,2019,"OTTR",10,90,"pisaster_gig",1,1
"54",2019-07-02,2019,"OTTR",10,100,"pisaster_gig",1,1
"55",2019-07-02,2019,"OTTR",10,90,"pisaster_gig",0,0
"56",2019-07-02,2019,"OTTR",10,80,"pisaster_gig",0,0
"57",2019-07-02,2019,"OTTR",10,70,"pisaster_gig",0,0
"58",2019-07-02,2019,"OTTR",10,90,"pisaster_gig",0,0
"59",2019-07-02,2019,"HMLR",10,NA,"pisaster_gig",0,0
"60",2019-07-02,2019,"HMLR",10,NA,"pisaster_gig",0,0
"61",2019-07-02,2019,"HMLR",10,50,"pisaster_gig",0,0
"62",2019-07-02,2019,"HMLR",10,NA,"pisaster_gig",0,0
"63",2019-07-02,2019,"HMLR",10,NA,"pisaster_gig",0,0
"64",2019-07-02,2019,"HMLR",10,NA,"pisaster_gig",0,0
"65",2019-07-02,2019,"HMLR",10,NA,"pisaster_gig",0,0
"66",2019-07-02,2019,"HMLR",10,NA,"pisaster_gig",1,1
"67",2019-07-02,2019,"HMLR",10,100,"pisaster_gig",1,1
"68",2019-07-02,2019,"HMLR",10,100,"pisaster_gig",0,0
"69",2019-07-02,2019,"HMLR",10,100,"pisaster_gig",0,0
"70",2019-07-02,2019,"HMLR",10,50,"pisaster_gig",0,0
"71",2019-07-02,2019,"HMLR",10,100,"pisaster_gig",0,0
"72",2019-07-02,2019,"HMLR",10,100,"pisaster_gig",0,0
"73",2019-07-02,2019,"OTTR",10,70,"pisaster_gig",0,0
"74",2019-07-02,2019,"OTTR",10,100,"pisaster_gig",0,0
"75",2019-07-02,2019,"OTTR",10,100,"pisaster_gig",0,0
"76",2019-07-02,2019,"OTTR",10,70,"pisaster_gig",0,0
"77",2019-07-02,2019,"OTTR",10,100,"pisaster_gig",0,0
"78",2019-07-02,2019,"OTTR",10,50,"pisaster_gig",0,0
"79",2019-07-02,2019,"OTTR",10,90,"pisaster_gig",0,0
"80",2019-07-02,2019,"OTTR",10,80,"pisaster_gig",0,0
"81",2019-07-02,2019,"OTTR",10,30,"pisaster_gig",0,0
"82",2019-07-02,2019,"OTTR",10,95,"pisaster_gig",0,0
"83",2019-07-02,2019,"OTTR",10,100,"pisaster_gig",1,1
"84",2019-07-02,2019,"OTTR",10,100,"pisaster_gig",2,2
"85",2019-07-02,2019,"OTTR",10,80,"pisaster_gig",1,1
"86",2019-07-02,2019,"OTTR",10,55,"pisaster_gig",0,0
"87",2019-07-02,2019,"HMLR",10,NA,"pisaster_gig",0,0
"88",2019-07-02,2019,"HMLR",10,90,"pisaster_gig",0,0
"89",2019-07-02,2019,"HMLR",10,100,"pisaster_gig",0,0
"90",2019-07-02,2019,"HMLR",10,100,"pisaster_gig",0,0
"91",2019-07-02,2019,"HMLR",10,50,"pisaster_gig",0,0
"92",2019-07-02,2019,"HMLR",10,NA,"pisaster_gig",0,0
"93",2019-07-02,2019,"HMLR",10,50,"pisaster_gig",0,0
"94",2019-07-02,2019,"HMLR",10,75,"pisaster_gig",0,0
